Training using device: cuda
Creating test environment 'simple_spread_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [18, 18, 18]
Action bounds for each agent:
  ['agent_0', 'agent_1', 'agent_2']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from agent_0: [0.0, 1.0]
Padded action sizes: [5, 5, 5]
Padded observation sizes: [18, 18, 18]
Environment: simple_spread_v3
Number of agents: 3
Agent names: ['agent_0', 'agent_1', 'agent_2']
Creating single 'simple_spread_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_spread_v3/baseline_spread_40k
Start Training: simple_spread_v3 | Mode: MLP | Agents: 3
Ep 7450 | Avg Score: -142.89 | Noise: 0.75 | Time: 7794s
Ep 7500 | Avg Score: -142.48 | Noise: 0.75 | Time: 7847s
Ep 7550 | Avg Score: -141.39 | Noise: 0.75 | Time: 7899s
Ep 7600 | Avg Score: -141.81 | Noise: 0.75 | Time: 7952s
Ep 7650 | Avg Score: -144.74 | Noise: 0.74 | Time: 8005s
Ep 7700 | Avg Score: -146.96 | Noise: 0.74 | Time: 8058s
Ep 7750 | Avg Score: -151.09 | Noise: 0.74 | Time: 8111s
Ep 7800 | Avg Score: -148.94 | Noise: 0.74 | Time: 8164s
Ep 7850 | Avg Score: -147.12 | Noise: 0.74 | Time: 8218s
Ep 7900 | Avg Score: -145.60 | Noise: 0.74 | Time: 8271s
Ep 7950 | Avg Score: -143.75 | Noise: 0.73 | Time: 8324s
Ep 8000 | Avg Score: -144.86 | Noise: 0.73 | Time: 8378s
Models saved to ./runs/simple_spread_v3/baseline_spread_40k/model.pt
Ep 8050 | Avg Score: -141.84 | Noise: 0.73 | Time: 8431s
Ep 8100 | Avg Score: -139.73 | Noise: 0.73 | Time: 8484s
Ep 8150 | Avg Score: -141.88 | Noise: 0.73 | Time: 8538s
Ep 8200 | Avg Score: -144.31 | Noise: 0.73 | Time: 8591s
Ep 8250 | Avg Score: -151.61 | Noise: 0.72 | Time: 8645s
Ep 8300 | Avg Score: -149.82 | Noise: 0.72 | Time: 8698s
Ep 8350 | Avg Score: -145.03 | Noise: 0.72 | Time: 8751s
Ep 8400 | Avg Score: -145.43 | Noise: 0.72 | Time: 8804s
Ep 8450 | Avg Score: -150.75 | Noise: 0.72 | Time: 8857s
Ep 8500 | Avg Score: -149.17 | Noise: 0.72 | Time: 8910s
Ep 8550 | Avg Score: -143.22 | Noise: 0.72 | Time: 8961s
Ep 8600 | Avg Score: -144.34 | Noise: 0.71 | Time: 9007s
Ep 8650 | Avg Score: -150.87 | Noise: 0.71 | Time: 9053s
