Training using device: cuda
Creating test environment 'simple_spread_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [18, 18, 18]
Action bounds for each agent:
  ['agent_0', 'agent_1', 'agent_2']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from agent_0: [0.0, 1.0]
Padded action sizes: [5, 5, 5]
Padded observation sizes: [18, 18, 18]
Environment: simple_spread_v3
Number of agents: 3
Agent names: ['agent_0', 'agent_1', 'agent_2']
Creating single 'simple_spread_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_spread_v3/dag_spread_40k
Start Training: simple_spread_v3 | Mode: DAG | Agents: 3
Ep 7950 | Avg Score: -164.32 | Noise: 0.73 | Time: 12179s
Ep 8000 | Avg Score: -170.64 | Noise: 0.73 | Time: 12255s
Models saved to ./runs/simple_spread_v3/dag_spread_40k/model.pt
Ep 8050 | Avg Score: -174.54 | Noise: 0.73 | Time: 12332s
Ep 8100 | Avg Score: -169.03 | Noise: 0.73 | Time: 12409s
Ep 8150 | Avg Score: -161.84 | Noise: 0.73 | Time: 12485s
Ep 8200 | Avg Score: -159.79 | Noise: 0.73 | Time: 12561s
Ep 8250 | Avg Score: -157.04 | Noise: 0.72 | Time: 12637s
Ep 8300 | Avg Score: -155.71 | Noise: 0.72 | Time: 12713s
Ep 8350 | Avg Score: -160.37 | Noise: 0.72 | Time: 12786s
Ep 8400 | Avg Score: -161.72 | Noise: 0.72 | Time: 12855s
Ep 8450 | Avg Score: -160.70 | Noise: 0.72 | Time: 12929s
Ep 8500 | Avg Score: -157.79 | Noise: 0.72 | Time: 13005s
Ep 8550 | Avg Score: -153.71 | Noise: 0.72 | Time: 13082s
Ep 8600 | Avg Score: -159.35 | Noise: 0.71 | Time: 13159s
Ep 8650 | Avg Score: -157.95 | Noise: 0.71 | Time: 13236s
Ep 8700 | Avg Score: -155.45 | Noise: 0.71 | Time: 13314s
Ep 8750 | Avg Score: -149.93 | Noise: 0.71 | Time: 13390s
Ep 8800 | Avg Score: -150.66 | Noise: 0.71 | Time: 13467s
Ep 8850 | Avg Score: -161.52 | Noise: 0.71 | Time: 13544s
Ep 8900 | Avg Score: -162.25 | Noise: 0.70 | Time: 13620s
Ep 8950 | Avg Score: -157.63 | Noise: 0.70 | Time: 13698s
Ep 9000 | Avg Score: -149.29 | Noise: 0.70 | Time: 13775s
Models saved to ./runs/simple_spread_v3/dag_spread_40k/model.pt
Ep 9050 | Avg Score: -153.52 | Noise: 0.70 | Time: 13852s
Ep 9100 | Avg Score: -159.81 | Noise: 0.70 | Time: 13928s
Ep 9150 | Avg Score: -156.39 | Noise: 0.70 | Time: 14005s
Ep 9200 | Avg Score: -155.17 | Noise: 0.69 | Time: 14083s
Ep 9250 | Avg Score: -153.35 | Noise: 0.69 | Time: 14161s
Ep 9300 | Avg Score: -155.49 | Noise: 0.69 | Time: 14238s
Ep 9350 | Avg Score: -158.54 | Noise: 0.69 | Time: 14315s
Ep 9400 | Avg Score: -151.10 | Noise: 0.69 | Time: 14392s
Ep 9450 | Avg Score: -149.07 | Noise: 0.69 | Time: 14468s
Ep 9500 | Avg Score: -148.81 | Noise: 0.68 | Time: 14545s
Ep 9550 | Avg Score: -145.63 | Noise: 0.68 | Time: 14622s
Ep 9600 | Avg Score: -146.98 | Noise: 0.68 | Time: 14699s
Ep 9650 | Avg Score: -146.07 | Noise: 0.68 | Time: 14776s
Ep 9700 | Avg Score: -145.98 | Noise: 0.68 | Time: 14852s
Ep 9750 | Avg Score: -150.10 | Noise: 0.68 | Time: 14929s
Ep 9800 | Avg Score: -146.36 | Noise: 0.67 | Time: 15005s
Ep 9850 | Avg Score: -142.94 | Noise: 0.67 | Time: 15081s
Ep 9900 | Avg Score: -150.46 | Noise: 0.67 | Time: 15158s
Ep 9950 | Avg Score: -150.40 | Noise: 0.67 | Time: 15235s
Ep 10000 | Avg Score: -148.15 | Noise: 0.67 | Time: 15311s
Models saved to ./runs/simple_spread_v3/dag_spread_40k/model.pt
Ep 10050 | Avg Score: -148.74 | Noise: 0.67 | Time: 15386s
Ep 10100 | Avg Score: -147.53 | Noise: 0.66 | Time: 15461s
Ep 10150 | Avg Score: -152.26 | Noise: 0.66 | Time: 15538s
Ep 10200 | Avg Score: -155.57 | Noise: 0.66 | Time: 15607s
Ep 10250 | Avg Score: -151.02 | Noise: 0.66 | Time: 15681s
Ep 10300 | Avg Score: -153.91 | Noise: 0.66 | Time: 15756s
Ep 10350 | Avg Score: -157.57 | Noise: 0.66 | Time: 15833s
Ep 10400 | Avg Score: -158.36 | Noise: 0.65 | Time: 15910s
Ep 10450 | Avg Score: -164.92 | Noise: 0.65 | Time: 15987s
