error: XDG_RUNTIME_DIR not set in the environment.
error: XDG_RUNTIME_DIR not set in the environment.
Training using device: cuda
Creating test environment 'simple_tag_v3' to get agent information...
Original action sizes: [5, 5, 5, 5]
Original observation sizes: [16, 16, 16, 14]
Action bounds for each agent:
  ['adversary_0', 'adversary_1', 'adversary_2', 'agent_0']: [[0.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from adversary_0: [0.0, 1.0]
Applying observation padding for simple_tag_v3
Padded action sizes: [5, 5, 5, 5]
Padded observation sizes: [16, 16, 16, 16]
Environment: simple_tag_v3
Number of agents: 4
Agent names: ['adversary_0', 'adversary_1', 'adversary_2', 'agent_0']
Creating single 'simple_tag_v3' environment...
Agent Groups: [0, 0, 0, 1]
📁 Training data will be saved to: ./runs/simple_tag_v3/dag_tag_60k
Start Training: simple_tag_v3 | Mode: DAG | Agents: 4
Ep 9450 | Avg Score: 32.05 | Noise: 0.69 | Time: 25792s
Ep 9500 | Avg Score: 31.40 | Noise: 0.68 | Time: 25910s
Ep 9550 | Avg Score: 30.88 | Noise: 0.68 | Time: 26030s
Ep 9600 | Avg Score: 35.85 | Noise: 0.68 | Time: 26149s
Ep 9650 | Avg Score: 35.51 | Noise: 0.68 | Time: 26267s
Ep 9700 | Avg Score: 28.49 | Noise: 0.68 | Time: 26386s
Ep 9750 | Avg Score: 20.98 | Noise: 0.68 | Time: 26504s
Ep 9800 | Avg Score: 23.39 | Noise: 0.67 | Time: 26621s
Ep 9850 | Avg Score: 29.56 | Noise: 0.67 | Time: 26741s
Ep 9900 | Avg Score: 31.30 | Noise: 0.67 | Time: 26859s
Ep 9950 | Avg Score: 26.87 | Noise: 0.67 | Time: 26978s
Ep 10000 | Avg Score: 31.44 | Noise: 0.67 | Time: 27097s
Models saved to ./runs/simple_tag_v3/dag_tag_60k/model.pt
Ep 10050 | Avg Score: 34.62 | Noise: 0.67 | Time: 27217s
Ep 10100 | Avg Score: 30.02 | Noise: 0.66 | Time: 27336s
Ep 10150 | Avg Score: 34.56 | Noise: 0.66 | Time: 27456s
Ep 10200 | Avg Score: 35.62 | Noise: 0.66 | Time: 27575s
Ep 10250 | Avg Score: 34.58 | Noise: 0.66 | Time: 27694s
Ep 10300 | Avg Score: 28.45 | Noise: 0.66 | Time: 27814s
Ep 10350 | Avg Score: 24.87 | Noise: 0.66 | Time: 27934s
Ep 10400 | Avg Score: 28.19 | Noise: 0.65 | Time: 28053s
Ep 10450 | Avg Score: 27.23 | Noise: 0.65 | Time: 28172s
Ep 10500 | Avg Score: 23.72 | Noise: 0.65 | Time: 28290s
Ep 10550 | Avg Score: 26.71 | Noise: 0.65 | Time: 28406s
Ep 10600 | Avg Score: 30.76 | Noise: 0.65 | Time: 28524s
Ep 10650 | Avg Score: 32.44 | Noise: 0.65 | Time: 28643s
Ep 10700 | Avg Score: 30.11 | Noise: 0.64 | Time: 28760s
Ep 10750 | Avg Score: 28.27 | Noise: 0.64 | Time: 28879s
Ep 10800 | Avg Score: 26.88 | Noise: 0.64 | Time: 28997s
Ep 10850 | Avg Score: 24.89 | Noise: 0.64 | Time: 29115s
Ep 10900 | Avg Score: 22.46 | Noise: 0.64 | Time: 29234s
Ep 10950 | Avg Score: 19.92 | Noise: 0.64 | Time: 29352s
Ep 11000 | Avg Score: 26.90 | Noise: 0.63 | Time: 29470s
Models saved to ./runs/simple_tag_v3/dag_tag_60k/model.pt
Ep 11050 | Avg Score: 39.65 | Noise: 0.63 | Time: 29588s
Ep 11100 | Avg Score: 48.07 | Noise: 0.63 | Time: 29707s
Ep 11150 | Avg Score: 38.84 | Noise: 0.63 | Time: 29826s
Ep 11200 | Avg Score: 33.36 | Noise: 0.63 | Time: 29944s
Ep 11250 | Avg Score: 35.29 | Noise: 0.62 | Time: 30064s
Ep 11300 | Avg Score: 36.75 | Noise: 0.62 | Time: 30183s
Ep 11350 | Avg Score: 44.93 | Noise: 0.62 | Time: 30296s
Ep 11400 | Avg Score: 36.61 | Noise: 0.62 | Time: 30405s
Ep 11450 | Avg Score: 33.38 | Noise: 0.62 | Time: 30523s
Ep 11500 | Avg Score: 35.55 | Noise: 0.62 | Time: 30642s
Ep 11550 | Avg Score: 27.97 | Noise: 0.61 | Time: 30761s
Ep 11600 | Avg Score: 30.79 | Noise: 0.61 | Time: 30881s
Ep 11650 | Avg Score: 40.65 | Noise: 0.61 | Time: 31002s
Ep 11700 | Avg Score: 40.38 | Noise: 0.61 | Time: 31122s
Ep 11750 | Avg Score: 43.46 | Noise: 0.61 | Time: 31242s
Ep 11800 | Avg Score: 51.90 | Noise: 0.61 | Time: 31360s
Ep 11850 | Avg Score: 47.01 | Noise: 0.60 | Time: 31477s
Ep 11900 | Avg Score: 44.11 | Noise: 0.60 | Time: 31588s
Ep 11950 | Avg Score: 42.92 | Noise: 0.60 | Time: 31706s
Ep 12000 | Avg Score: 38.37 | Noise: 0.60 | Time: 31824s
Models saved to ./runs/simple_tag_v3/dag_tag_60k/model.pt
Ep 12050 | Avg Score: 42.38 | Noise: 0.60 | Time: 31943s
Ep 12100 | Avg Score: 44.31 | Noise: 0.60 | Time: 32061s
Ep 12150 | Avg Score: 46.22 | Noise: 0.59 | Time: 32180s
Ep 12200 | Avg Score: 49.43 | Noise: 0.59 | Time: 32298s
Ep 12250 | Avg Score: 44.73 | Noise: 0.59 | Time: 32416s
Ep 12300 | Avg Score: 42.37 | Noise: 0.59 | Time: 32536s
Ep 12350 | Avg Score: 35.49 | Noise: 0.59 | Time: 32655s
Ep 12400 | Avg Score: 30.51 | Noise: 0.59 | Time: 32773s
Ep 12450 | Avg Score: 37.63 | Noise: 0.58 | Time: 32892s
Ep 12500 | Avg Score: 41.89 | Noise: 0.58 | Time: 33011s
Ep 12550 | Avg Score: 50.69 | Noise: 0.58 | Time: 33129s
Ep 12600 | Avg Score: 52.36 | Noise: 0.58 | Time: 33247s
Ep 12650 | Avg Score: 50.84 | Noise: 0.58 | Time: 33367s
Ep 12700 | Avg Score: 43.11 | Noise: 0.58 | Time: 33487s
Ep 12750 | Avg Score: 40.46 | Noise: 0.57 | Time: 33607s
Ep 12800 | Avg Score: 49.88 | Noise: 0.57 | Time: 33725s
Ep 12850 | Avg Score: 50.70 | Noise: 0.57 | Time: 33843s
Ep 12900 | Avg Score: 58.09 | Noise: 0.57 | Time: 33960s
Ep 12950 | Avg Score: 61.57 | Noise: 0.57 | Time: 34079s
Ep 13000 | Avg Score: 55.12 | Noise: 0.57 | Time: 34197s
Models saved to ./runs/simple_tag_v3/dag_tag_60k/model.pt
Ep 13050 | Avg Score: 50.39 | Noise: 0.56 | Time: 34316s
Ep 13100 | Avg Score: 54.43 | Noise: 0.56 | Time: 34434s
Ep 13150 | Avg Score: 56.34 | Noise: 0.56 | Time: 34553s
Ep 13200 | Avg Score: 55.48 | Noise: 0.56 | Time: 34671s
Ep 13250 | Avg Score: 49.95 | Noise: 0.56 | Time: 34789s
Ep 13300 | Avg Score: 41.86 | Noise: 0.56 | Time: 34907s
Ep 13350 | Avg Score: 40.71 | Noise: 0.55 | Time: 35026s
Ep 13400 | Avg Score: 41.16 | Noise: 0.55 | Time: 35144s
Ep 13450 | Avg Score: 49.45 | Noise: 0.55 | Time: 35261s
Ep 13500 | Avg Score: 49.48 | Noise: 0.55 | Time: 35378s
Ep 13550 | Avg Score: 42.37 | Noise: 0.55 | Time: 35495s
Ep 13600 | Avg Score: 51.46 | Noise: 0.55 | Time: 35614s
Ep 13650 | Avg Score: 49.35 | Noise: 0.54 | Time: 35732s
Ep 13700 | Avg Score: 46.67 | Noise: 0.54 | Time: 35851s
Ep 13750 | Avg Score: 58.90 | Noise: 0.54 | Time: 35970s
Ep 13800 | Avg Score: 57.97 | Noise: 0.54 | Time: 36089s
Ep 13850 | Avg Score: 54.99 | Noise: 0.54 | Time: 36209s
Ep 13900 | Avg Score: 54.75 | Noise: 0.54 | Time: 36328s
Ep 13950 | Avg Score: 52.52 | Noise: 0.53 | Time: 36448s
Ep 14000 | Avg Score: 56.49 | Noise: 0.53 | Time: 36567s
Models saved to ./runs/simple_tag_v3/dag_tag_60k/model.pt
Ep 14050 | Avg Score: 49.83 | Noise: 0.53 | Time: 36688s
Ep 14100 | Avg Score: 46.03 | Noise: 0.53 | Time: 36809s
Ep 14150 | Avg Score: 47.06 | Noise: 0.53 | Time: 36929s
Ep 14200 | Avg Score: 41.52 | Noise: 0.53 | Time: 37048s
Ep 14250 | Avg Score: 43.34 | Noise: 0.53 | Time: 37166s
Ep 14300 | Avg Score: 43.93 | Noise: 0.52 | Time: 37284s
Ep 14350 | Avg Score: 36.32 | Noise: 0.52 | Time: 37403s
Ep 14400 | Avg Score: 33.03 | Noise: 0.52 | Time: 37531s
Ep 14450 | Avg Score: 34.58 | Noise: 0.52 | Time: 37654s
Ep 14500 | Avg Score: 40.11 | Noise: 0.52 | Time: 37778s
Ep 14550 | Avg Score: 44.65 | Noise: 0.52 | Time: 37902s
Ep 14600 | Avg Score: 40.89 | Noise: 0.51 | Time: 38027s
Ep 14650 | Avg Score: 35.12 | Noise: 0.51 | Time: 38153s
Ep 14700 | Avg Score: 31.96 | Noise: 0.51 | Time: 38277s
Ep 14750 | Avg Score: 37.96 | Noise: 0.51 | Time: 38401s
