Training using device: cuda
Creating test environment 'simple_adversary_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [8, 10, 10]
Action bounds for each agent:
  ['adversary_0', 'agent_0', 'agent_1']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from adversary_0: [0.0, 1.0]
Applying observation padding for simple_adversary_v3
Padded action sizes: [5, 5, 5]
Padded observation sizes: [10, 10, 10]
Environment: simple_adversary_v3
Number of agents: 3
Agent names: ['adversary_0', 'agent_0', 'agent_1']
Creating single 'simple_adversary_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_adversary_v3/baseline_adv_40k
Start Training: simple_adversary_v3 | Mode: MLP | Agents: 3
Ep 8450 | Avg Score: -32.93 | Noise: 0.72 | Time: 8717s
Ep 8500 | Avg Score: -21.26 | Noise: 0.72 | Time: 8768s
Ep 8550 | Avg Score: -13.93 | Noise: 0.72 | Time: 8821s
Ep 8600 | Avg Score: -9.81 | Noise: 0.71 | Time: 8873s
Ep 8650 | Avg Score: -5.38 | Noise: 0.71 | Time: 8926s
Ep 8700 | Avg Score: 1.43 | Noise: 0.71 | Time: 8976s
Ep 8750 | Avg Score: 1.47 | Noise: 0.71 | Time: 9029s
Ep 8800 | Avg Score: -0.04 | Noise: 0.71 | Time: 9080s
Ep 8850 | Avg Score: -1.79 | Noise: 0.71 | Time: 9133s
Ep 8900 | Avg Score: -8.17 | Noise: 0.70 | Time: 9185s
Ep 8950 | Avg Score: -11.70 | Noise: 0.70 | Time: 9237s
Ep 9000 | Avg Score: -11.79 | Noise: 0.70 | Time: 9288s
Models saved to ./runs/simple_adversary_v3/baseline_adv_40k/model.pt
Ep 9050 | Avg Score: -18.41 | Noise: 0.70 | Time: 9340s
Ep 9100 | Avg Score: -30.66 | Noise: 0.70 | Time: 9392s
Ep 9150 | Avg Score: -34.44 | Noise: 0.70 | Time: 9444s
Ep 9200 | Avg Score: -27.86 | Noise: 0.69 | Time: 9497s
Ep 9250 | Avg Score: -24.38 | Noise: 0.69 | Time: 9548s
Ep 9300 | Avg Score: -16.84 | Noise: 0.69 | Time: 9600s
Ep 9350 | Avg Score: -18.87 | Noise: 0.69 | Time: 9652s
Ep 9400 | Avg Score: -13.27 | Noise: 0.69 | Time: 9704s
Ep 9450 | Avg Score: 2.42 | Noise: 0.69 | Time: 9755s
Ep 9500 | Avg Score: 1.78 | Noise: 0.68 | Time: 9808s
Ep 9550 | Avg Score: -1.00 | Noise: 0.68 | Time: 9860s
Ep 9600 | Avg Score: -1.95 | Noise: 0.68 | Time: 9912s
Ep 9650 | Avg Score: -9.21 | Noise: 0.68 | Time: 9964s
Ep 9700 | Avg Score: -15.62 | Noise: 0.68 | Time: 10016s
Ep 9750 | Avg Score: -13.28 | Noise: 0.68 | Time: 10066s
Ep 9800 | Avg Score: -11.41 | Noise: 0.67 | Time: 10111s
Ep 9850 | Avg Score: -11.59 | Noise: 0.67 | Time: 10161s
Ep 9900 | Avg Score: -13.63 | Noise: 0.67 | Time: 10213s
Ep 9950 | Avg Score: -14.69 | Noise: 0.67 | Time: 10265s
Ep 10000 | Avg Score: -13.72 | Noise: 0.67 | Time: 10315s
Models saved to ./runs/simple_adversary_v3/baseline_adv_40k/model.pt
Ep 10050 | Avg Score: -13.91 | Noise: 0.67 | Time: 10367s
Ep 10100 | Avg Score: -13.61 | Noise: 0.66 | Time: 10420s
Ep 10150 | Avg Score: -10.29 | Noise: 0.66 | Time: 10472s
Ep 10200 | Avg Score: -12.62 | Noise: 0.66 | Time: 10523s
Ep 10250 | Avg Score: -15.91 | Noise: 0.66 | Time: 10575s
Ep 10300 | Avg Score: -14.23 | Noise: 0.66 | Time: 10627s
Ep 10350 | Avg Score: -14.40 | Noise: 0.66 | Time: 10679s
Ep 10400 | Avg Score: -13.08 | Noise: 0.65 | Time: 10730s
Ep 10450 | Avg Score: -10.73 | Noise: 0.65 | Time: 10782s
Ep 10500 | Avg Score: -12.28 | Noise: 0.65 | Time: 10833s
Ep 10550 | Avg Score: -13.66 | Noise: 0.65 | Time: 10884s
Ep 10600 | Avg Score: -12.16 | Noise: 0.65 | Time: 10936s
Ep 10650 | Avg Score: -11.51 | Noise: 0.65 | Time: 10988s
Ep 10700 | Avg Score: -11.99 | Noise: 0.64 | Time: 11040s
Ep 10750 | Avg Score: -9.70 | Noise: 0.64 | Time: 11093s
Ep 10800 | Avg Score: -8.19 | Noise: 0.64 | Time: 11145s
Ep 10850 | Avg Score: -8.87 | Noise: 0.64 | Time: 11196s
Ep 10900 | Avg Score: -9.15 | Noise: 0.64 | Time: 11248s
Ep 10950 | Avg Score: -4.68 | Noise: 0.64 | Time: 11300s
Ep 11000 | Avg Score: -4.12 | Noise: 0.63 | Time: 11352s
Models saved to ./runs/simple_adversary_v3/baseline_adv_40k/model.pt
Ep 11050 | Avg Score: -8.02 | Noise: 0.63 | Time: 11403s
Ep 11100 | Avg Score: -5.34 | Noise: 0.63 | Time: 11454s
Ep 11150 | Avg Score: -3.16 | Noise: 0.63 | Time: 11506s
Ep 11200 | Avg Score: -6.34 | Noise: 0.63 | Time: 11557s
Ep 11250 | Avg Score: -7.51 | Noise: 0.62 | Time: 11609s
Ep 11300 | Avg Score: -6.06 | Noise: 0.62 | Time: 11661s
Ep 11350 | Avg Score: -8.15 | Noise: 0.62 | Time: 11713s
Ep 11400 | Avg Score: -11.82 | Noise: 0.62 | Time: 11765s
Ep 11450 | Avg Score: -10.64 | Noise: 0.62 | Time: 11816s
Ep 11500 | Avg Score: -9.26 | Noise: 0.62 | Time: 11868s
Ep 11550 | Avg Score: -13.16 | Noise: 0.61 | Time: 11920s
Ep 11600 | Avg Score: -14.63 | Noise: 0.61 | Time: 11972s
Ep 11650 | Avg Score: -12.19 | Noise: 0.61 | Time: 12024s
Ep 11700 | Avg Score: -8.12 | Noise: 0.61 | Time: 12077s
Ep 11750 | Avg Score: -7.71 | Noise: 0.61 | Time: 12129s
